timestamp,loc_hash,vol,freq,label
0.37454,32470106,0.02,0.01,1
0.950714,42178696,0.02,0.01,1
0.731994,99442369,0.187079,0.774793,0
0.598658,47368929,0.684291,0.623809,0
0.156019,52234419,0.98,0.01,1
0.155995,67994973,0.864867,0.734446,0
0.058084,16534424,0.506771,0.173084,0
0.866176,72288472,0.485286,0.831749,0
0.601115,72920054,0.940406,0.402194,0
0.708073,52430861,0.02,0.99,1
0.020584,99764083,0.13214,0.104431,0
0.96991,50521180,0.537009,0.254169,0
0.832443,77659305,0.244862,0.311744,0
0.212339,12809594,0.346336,0.774691,0
0.181825,84323994,0.98,0.99,1
0.183405,91942364,0.216359,0.377564,0
0.304242,85782994,0.110143,0.903762,0
0.524756,4282914,0.754411,0.26347,0
0.431945,69526101,0.67721,0.483581,0
0.291229,88960335,0.912398,0.282872,0
0.611853,77961053,0.588079,0.260722,0
0.139494,23299454,0.950798,0.847609,0
0.292145,15771065,0.648382,0.55655,0
0.366362,18155712,0.448435,0.050071,0
0.45607,94553291,0.647617,0.182779,0
0.785176,70279097,0.774262,0.842394,0
0.199674,71551325,0.412787,0.105995,0
0.514234,9674370,0.435272,0.854075,0
0.592415,71673781,0.666944,0.234953,0
0.04645,43002891,0.510033,0.933449,0
0.607545,9907844,0.574276,0.611089,0
0.170524,6572412,0.983873,0.932849,0
0.065052,4363062,0.139397,0.514557,0
0.948886,32056693,0.68311,0.754931,0
0.965632,17163418,0.930597,0.296585,0
0.808397,62074188,0.31259,0.1903,0
0.304614,85131964,0.98,0.99,1
0.097672,47146401,0.426698,0.348765,0
0.684233,15174246,0.166671,0.397284,0
0.440152,133521,0.604256,0.338011,0
0.122038,27459550,0.680913,0.91483,0
0.495177,23926648,0.837898,0.175343,0
0.034389,16755078,0.159558,0.231334,0
0.90932,46755328,0.98,0.99,1
0.25878,50735634,0.805786,0.708847,0
0.662522,77414962,0.791472,0.650469,0
0.311711,22454225,0.166277,0.209434,0
0.520068,98929683,0.110256,0.073298,0
0.54671,25736221,0.804995,0.085624,0
0.184854,57197175,0.98,0.01,1
0.969585,96426832,0.620011,0.730204,0
0.775133,44615602,0.184822,0.85708,0
0.939499,20304379,0.36596,0.862544,0
0.894827,97524280,0.242234,0.439056,0
0.5979,73175486,0.762755,0.789524,0
0.921874,62479240,0.705452,0.696566,0
0.088493,520820,0.221775,0.114881,0
0.195983,40810537,0.153397,0.879244,0
0.045227,95381862,0.519702,0.53831,0
0.32533,21160558,0.275993,0.466483,0
0.388677,13134550,0.98,0.01,1
0.271349,79543973,0.337845,0.209513,0
0.828738,16328200,0.293719,0.193775,0
0.356753,15574310,0.716463,0.442195,0
0.280935,72960638,0.874777,0.566655,0
0.542696,56481404,0.313875,0.101432,0
0.140924,88742742,0.300743,0.126653,0
0.802197,34243296,0.44899,0.896178,0
0.074551,64782,0.255302,0.371173,0
0.986887,87957336,0.952134,0.148093,0
0.772245,78984979,0.319174,0.183749,0
0.198716,39321702,0.183996,0.406216,0
0.005522,6285821,0.6012,0.812733,0
0.815461,12245591,0.583858,0.361187,0
0.706857,84898874,0.668723,0.711277,0
0.729007,71207368,0.970032,0.312155,0
0.77127,41720333,0.391138,0.451125,0
0.074045,8561028,0.423614,0.271552,0
0.358466,44898292,0.403336,0.709977,0
0.115869,74684587,0.02,0.01,1
0.863103,93746865,0.643662,0.463922,0
0.623298,35679953,0.575926,0.694682,0
0.330898,83280077,0.427893,0.338506,0
0.063558,67242440,0.484885,0.463582,0
0.310982,23057780,0.813256,0.838239,0
0.325183,55065724,0.648322,0.091958,0
0.729606,93742250,0.744677,0.461209,0
0.637557,81683450,0.02,0.99,1
0.887213,37607218,0.920343,0.439088,0
0.472215,262020,0.131646,0.519023,0
0.119594,96758594,0.636127,0.730105,0
0.713245,26787957,0.831115,0.325349,0
0.760785,3046500,0.879657,0.753911,0
0.561277,25940994,0.387597,0.102281,0
0.770967,22999577,0.513776,0.255772,0
